sample_index,timestamp_iso,timestamp_unix,elapsed_seconds,phase,baseline_seconds,url,source,output,apower,voltage,freq,current,aenergy_total,ret_aenergy_total,temperature_c,temperature_f,error
0,2026-05-07T07:49:53.938886+00:00,1778140193.938886,0.0002741659991443157,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,154.0,237.2,49.9,0.702,24750.741,0.0,46.9,116.4,
1,2026-05-07T07:49:54.938848+00:00,1778140194.938848,1.0002511139027774,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.6,237.2,49.9,0.689,24750.741,0.0,46.9,116.4,
2,2026-05-07T07:49:55.939222+00:00,1778140195.939222,2.000629553804174,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.4,237.3,49.9,0.685,24750.957,0.0,46.9,116.4,
3,2026-05-07T07:49:56.938832+00:00,1778140196.938832,3.0002326029352844,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.3,237.2,49.9,0.684,24750.957,0.0,46.9,116.4,
4,2026-05-07T07:49:57.939232+00:00,1778140197.939232,4.00063511589542,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.0,237.1,49.9,0.691,24750.957,0.0,46.9,116.4,
5,2026-05-07T07:49:58.939120+00:00,1778140198.93912,5.000533644808456,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.7,237.0,49.9,0.694,24750.957,0.0,46.9,116.4,
6,2026-05-07T07:49:59.939220+00:00,1778140199.93922,6.000630103982985,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.2,237.1,49.9,0.684,24750.957,0.0,46.9,116.4,
7,2026-05-07T07:50:00.939186+00:00,1778140200.939186,7.000590176787227,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.2,237.1,49.9,0.684,24751.174,0.0,46.9,116.4,
8,2026-05-07T07:50:01.939291+00:00,1778140201.939291,8.00069506582804,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.7,237.1,49.9,0.685,24751.174,0.0,46.9,116.4,
9,2026-05-07T07:50:02.939221+00:00,1778140202.939221,9.00062179286033,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.0,236.7,49.9,0.692,24751.174,0.0,46.9,116.4,
10,2026-05-07T07:50:03.939311+00:00,1778140203.939311,10.000715905800462,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,153.5,236.4,49.9,0.702,24751.174,0.0,46.9,116.4,
11,2026-05-07T07:50:04.939283+00:00,1778140204.939283,11.00068515399471,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.9,236.8,49.9,0.687,24751.174,0.0,46.6,115.9,
12,2026-05-07T07:50:05.939368+00:00,1778140205.939368,12.00076981796883,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.1,237.0,49.9,0.684,24751.39,0.0,46.9,116.4,
13,2026-05-07T07:50:06.938940+00:00,1778140206.93894,13.000343078980222,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.1,237.0,49.9,0.684,24751.39,0.0,46.9,116.4,
14,2026-05-07T07:50:07.939300+00:00,1778140207.9393,14.00070218089968,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.3,236.9,49.9,0.685,24751.39,0.0,46.9,116.4,
15,2026-05-07T07:50:08.939293+00:00,1778140208.939293,15.000700584845617,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.3,236.8,49.9,0.689,24751.39,0.0,46.9,116.4,
16,2026-05-07T07:50:09.939381+00:00,1778140209.939381,16.000780808972195,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.9,237.0,49.9,0.691,24751.39,0.0,46.9,116.4,
17,2026-05-07T07:50:10.939041+00:00,1778140210.939041,17.000443185912445,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.5,237.0,49.9,0.685,24751.39,0.0,46.8,116.2,
18,2026-05-07T07:50:11.939338+00:00,1778140211.939338,18.000737485010177,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.7,237.0,49.9,0.683,24751.606,0.0,46.8,116.3,
19,2026-05-07T07:50:12.938730+00:00,1778140212.93873,19.00012523890473,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.0,237.1,49.9,0.687,24751.606,0.0,46.9,116.4,
20,2026-05-07T07:50:13.939310+00:00,1778140213.93931,20.000718589872122,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,152.6,237.0,49.9,0.698,24751.606,0.0,46.9,116.4,
21,2026-05-07T07:50:14.939681+00:00,1778140214.939681,21.001089048804715,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.0,237.1,49.9,0.691,24751.606,0.0,46.9,116.4,
22,2026-05-07T07:50:15.939646+00:00,1778140215.939646,22.001058948924765,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.3,237.2,49.9,0.684,24751.606,0.0,46.5,115.8,
23,2026-05-07T07:50:16.938976+00:00,1778140216.938976,23.000387434847653,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.4,237.3,49.9,0.681,24751.823,0.0,46.9,116.4,
24,2026-05-07T07:50:17.939279+00:00,1778140217.939279,24.00069330795668,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.9,237.3,49.9,0.683,24751.823,0.0,46.9,116.4,
25,2026-05-07T07:50:18.939073+00:00,1778140218.939073,25.0004830758553,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.8,237.1,49.9,0.69,24751.823,0.0,46.9,116.4,
26,2026-05-07T07:50:19.939042+00:00,1778140219.939042,26.00045427097939,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.2,237.2,49.9,0.684,24751.823,0.0,46.9,116.5,
27,2026-05-07T07:50:20.938978+00:00,1778140220.938978,27.000391287961975,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.9,237.1,49.9,0.683,24751.823,0.0,46.9,116.4,
28,2026-05-07T07:50:21.939101+00:00,1778140221.939101,28.000512667000294,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.4,237.3,49.9,0.689,24752.039,0.0,46.9,116.4,
29,2026-05-07T07:50:22.939086+00:00,1778140222.939086,29.000498115783557,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.9,237.4,49.9,0.686,24752.039,0.0,46.9,116.4,
30,2026-05-07T07:50:23.939113+00:00,1778140223.939113,30.000527041964233,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,153.0,237.2,49.9,0.699,24752.039,0.0,46.9,116.4,
