Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,3848,0,15,25.145438075534663,9.280311176553369,1106.5217680297792,10545.68685031185,32.18751894494205,0.0,15,18,20,21,33,55,110,210,1100,1100,1100
POST,/cart,393,0,28,33.94773733593599,15.663522994145751,206.16542804054916,17763.997455470737,3.2873427612687696,0.0,28,31,33,37,50,79,95,150,210,210,210
POST,/cart/checkout,207,0,16,23.243345794884334,9.699244052171707,306.7721740808338,6802.323671497585,1.7315011490652297,0.0,16,17,18,20,28,60,110,170,310,310,310
GET,/product/0PUK6V6EV0,75,0,12,13.480312693864107,7.284126011654735,49.84189197421074,8014.866666666667,0.6273554887917498,0.0,12,13,13,13,19,27,47,50,50,50,50
GET,/product/1YMWWN1N4O,76,0,12,16.1512039209667,7.552410010248423,101.14921792410314,8016.789473684211,0.6357202286423066,0.0,12,14,15,15,19,59,88,100,100,100,100
GET,/product/2ZYFJ3GM2N,62,0,12,14.022748954894562,8.017078973352909,72.30668189004064,8028.758064516129,0.5186138707345133,0.0,12,13,14,14,17,24,42,72,72,72,72
GET,/product/66VCHSJNUP,70,0,13,18.540381696740432,7.554810959845781,198.1522219721228,7985.2,0.5855317895389666,0.0,13,14,16,16,25,50,84,200,200,200,200
GET,/product/6E92ZMYYFZ,72,0,11,14.681426979627254,8.775450056418777,75.59133088216186,7973.541666666667,0.6022612692400799,0.0,12,12,14,15,22,40,45,76,76,76,76
GET,/product/9SIQT8TOJO,74,0,12,12.884573476087,7.919118972495198,26.93130006082356,8027.351351351352,0.6189907489411932,0.0,12,13,14,15,19,23,25,27,27,27,27
GET,/product/L9ECAV7KIM,75,0,12,20.910613763456542,8.046637987717986,110.6174411252141,8001.04,0.6273554887917498,0.0,12,14,17,21,49,90,110,110,110,110,110
GET,/product/LS4PSXUNUM,74,0,12,17.512009123566788,8.320238906890154,192.77446321211755,8004.351351351352,0.6189907489411932,0.0,12,13,14,15,23,42,90,190,190,190,190
GET,/product/OLJCESPC7Z,86,0,12,17.555589728100703,8.125055115669966,194.8425699956715,8028.837209302325,0.7193676271478732,0.0,12,13,14,15,19,44,96,190,190,190,190
,Aggregated,5112,0,15,24.589733524063636,7.284126011654735,1106.5217680297792,10619.575899843505,42.76055011604567,0.0,15,18,21,24,34,55,100,190,590,1100,1100
