sample_index,timestamp_iso,timestamp_unix,elapsed_seconds,phase,baseline_seconds,url,source,output,apower,voltage,freq,current,aenergy_total,ret_aenergy_total,temperature_c,temperature_f,error
0,2026-05-19T17:31:12.100256+00:00,1779211872.100256,0.00016934299492277205,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,176.0,239.0,50.0,0.784,71272.58,0.0,48.4,119.0,
1,2026-05-19T17:31:13.100763+00:00,1779211873.100763,1.0006943579937797,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,163.5,239.1,50.0,0.735,71272.796,0.0,48.4,119.1,
2,2026-05-19T17:31:14.100834+00:00,1779211874.100834,2.000761055998737,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,163.2,239.1,49.9,0.735,71272.796,0.0,48.6,119.5,
3,2026-05-19T17:31:15.100843+00:00,1779211875.100843,3.0007700480055064,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.4,239.2,49.9,0.719,71272.796,0.0,48.4,119.0,
4,2026-05-19T17:31:16.100710+00:00,1779211876.10071,4.000636771990685,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.8,239.2,50.0,0.725,71272.796,0.0,48.4,119.1,
5,2026-05-19T17:31:17.100764+00:00,1779211877.100764,5.000690877990564,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.8,239.1,50.0,0.718,71272.796,0.0,48.6,119.5,
6,2026-05-19T17:31:18.100709+00:00,1779211878.100709,6.000636047014268,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,164.9,239.1,50.0,0.742,71273.013,0.0,48.4,119.2,
7,2026-05-19T17:31:19.100333+00:00,1779211879.100333,7.0002619290025905,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,168.9,239.1,49.9,0.756,71273.013,0.0,48.4,119.1,
8,2026-05-19T17:31:20.100520+00:00,1779211880.10052,8.000449948012829,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,168.8,239.1,49.9,0.756,71273.013,0.0,48.6,119.5,
9,2026-05-19T17:31:21.100796+00:00,1779211881.100796,9.000732946995413,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.3,239.1,50.0,0.719,71273.013,0.0,48.6,119.5,
