sample_index,timestamp_iso,timestamp_unix,elapsed_seconds,phase,baseline_seconds,url,source,output,apower,voltage,freq,current,aenergy_total,ret_aenergy_total,temperature_c,temperature_f,error
0,2026-06-03T15:06:33.901192+00:00,1780499193.901192,0.0005701299996871967,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.4,236.3,49.9,0.686,124145.512,0.0,51.8,125.3,
1,2026-06-03T15:06:34.900877+00:00,1780499194.900877,1.000266005998128,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.8,236.2,49.9,0.695,124145.512,0.0,51.7,125.1,
2,2026-06-03T15:06:35.900863+00:00,1780499195.900863,2.0002504479998606,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,152.0,236.3,50.0,0.696,124145.512,0.0,51.7,125.1,
3,2026-06-03T15:06:36.900904+00:00,1780499196.900904,3.0002921529994637,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.4,236.2,49.9,0.686,124145.512,0.0,51.8,125.3,
4,2026-06-03T15:06:37.900800+00:00,1780499197.9008,4.0001868619983725,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.9,236.2,50.0,0.688,124145.729,0.0,52.0,125.6,
5,2026-06-03T15:06:38.900897+00:00,1780499198.900897,5.000285082998744,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.2,236.2,50.0,0.689,124145.729,0.0,51.7,125.1,
6,2026-06-03T15:06:39.900896+00:00,1780499199.900896,6.000282921999315,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.1,236.2,50.0,0.689,124145.729,0.0,51.7,125.1,
7,2026-06-03T15:06:40.900930+00:00,1780499200.90093,7.000316405999911,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,152.3,236.2,49.9,0.697,124145.729,0.0,51.7,125.1,
8,2026-06-03T15:06:41.900844+00:00,1780499201.900844,8.000230770998314,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.1,236.2,49.9,0.685,124145.729,0.0,51.7,125.1,
9,2026-06-03T15:06:42.900833+00:00,1780499202.900833,9.00022257800083,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.3,236.3,49.9,0.686,124145.945,0.0,51.8,125.3,
10,2026-06-03T15:06:43.900942+00:00,1780499203.900942,10.000330386999849,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.3,236.2,50.0,0.686,124145.945,0.0,51.7,125.1,
11,2026-06-03T15:06:44.900855+00:00,1780499204.900855,11.000244073999056,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,154.0,236.2,49.9,0.705,124145.945,0.0,51.7,125.1,
12,2026-06-03T15:06:45.900954+00:00,1780499205.900954,12.000339244998031,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,152.4,236.2,49.9,0.698,124145.945,0.0,51.7,125.1,
13,2026-06-03T15:06:46.900873+00:00,1780499206.900873,13.000259636999544,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.9,236.3,49.9,0.688,124145.945,0.0,51.7,125.1,
14,2026-06-03T15:06:47.900943+00:00,1780499207.900943,14.000328300997353,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.1,236.3,49.9,0.689,124146.161,0.0,51.8,125.2,
15,2026-06-03T15:06:48.900817+00:00,1780499208.900817,15.000204173000384,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.3,236.3,49.9,0.686,124146.161,0.0,51.7,125.1,
16,2026-06-03T15:06:49.900909+00:00,1780499209.900909,16.000297367998428,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.4,236.3,49.9,0.69,124146.161,0.0,52.0,125.7,
17,2026-06-03T15:06:50.900887+00:00,1780499210.900887,17.000272291999863,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.2,236.3,49.9,0.689,124146.161,0.0,52.0,125.6,
18,2026-06-03T15:06:51.900887+00:00,1780499211.900887,18.000273156998446,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.3,236.3,49.9,0.686,124146.161,0.0,51.8,125.2,
19,2026-06-03T15:06:52.900948+00:00,1780499212.900948,19.00033431599877,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.3,236.3,49.9,0.686,124146.161,0.0,51.7,125.1,
20,2026-06-03T15:06:53.900788+00:00,1780499213.900788,20.000171985000634,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.2,236.3,49.9,0.685,124146.377,0.0,52.0,125.6,
21,2026-06-03T15:06:54.900926+00:00,1780499214.900926,21.000312656997266,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.5,236.2,49.9,0.687,124146.377,0.0,51.7,125.1,
22,2026-06-03T15:06:55.900823+00:00,1780499215.900823,22.000209517998883,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,153.8,236.1,49.9,0.703,124146.377,0.0,51.7,125.1,
23,2026-06-03T15:06:56.900980+00:00,1780499216.90098,23.00037442499888,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.3,236.2,49.9,0.693,124146.377,0.0,51.7,125.1,
24,2026-06-03T15:06:57.900900+00:00,1780499217.9009,24.000284648998786,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.0,236.2,49.9,0.688,124146.377,0.0,51.7,125.1,
25,2026-06-03T15:06:58.900866+00:00,1780499218.900866,25.000253039997915,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.0,236.2,49.9,0.688,124146.594,0.0,51.7,125.1,
