Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,0%,25%,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/adminbasicservice/adminbasic/configs,16,0,100,2016.1527894670144,17.25360844284296,7792.1014269813895,191.0,0.13408398860724347,0.0,17,25,100,140,6000,6000,7700,7800,7800,7800,7800,7800,7800
GET,/api/v1/adminbasicservice/adminbasic/prices,12,0,100,604.4987180115035,18.445109017193317,6260.079422034323,1685.0,0.10056299145543261,0.0,18,90,100,110,110,110,170,6300,6300,6300,6300,6300,6300
GET,/api/v1/assuranceservice/assurances/types,6,0,57,790.8147694543004,10.595254600048065,3182.690209709108,108.0,0.050281495727716306,0.0,11,13,91,91,1400,1400,3200,3200,3200,3200,3200,3200,3200
GET,/api/v1/cancelservice/cancel/01217d76-1345-45b1-8d79-fa24ffe03641/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,3028.63391302526,3028.63391302526,3028.63391302526,3028.63391302526,41.0,0.008380249287952717,0.0,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
GET,/api/v1/cancelservice/cancel/5ad7750b-a68b-49c0-a8c0-32776b067703/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,2,0,26000,26637.887903954834,25840.53757134825,27435.238236561418,41.0,0.016760498575905433,0.0,26000,26000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
GET,/api/v1/cancelservice/cancel/8177ac5a-61ac-42f4-83f4-bd7b394d0531/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,2,0,23389.560633338988,25665.078789927065,23389.560633338988,27940.596946515143,41.0,0.016760498575905433,0.0,23000,23000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000
GET,/api/v1/cancelservice/cancel/d3c91694-d5b8-424c-9974-e14c89226e49/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,2,0,27430.775831453502,27482.71259246394,27430.775831453502,27534.64935347438,41.0,0.016760498575905433,0.0,27000,27000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000
PUT,/api/v1/consignservice/consigns,4,0,120,1709.7328794188797,98.4076950699091,6396.192274987698,388.0,0.033520997151810866,0.0,98,120,230,230,6400,6400,6400,6400,6400,6400,6400,6400,6400
GET,/api/v1/contactservice/contacts/account/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,6,0,96,1016.209535455952,14.41359892487526,2983.3118682727218,459.0,0.050281495727716306,0.0,14,15,100,100,2900,2900,3000,3000,3000,3000,3000,3000,3000
GET,/api/v1/executeservice/execute/collected/01de6b00-aa68-47f2-8f57-0e0d4e1ab6c8,1,0,2064.9216789752245,2064.9216789752245,2064.9216789752245,2064.9216789752245,41.0,0.008380249287952717,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
GET,/api/v1/executeservice/execute/collected/2c2eb088-aebc-445a-a8df-b494f82401de,2,0,844.277641735971,954.3729797005653,844.277641735971,1064.4683176651597,51.0,0.016760498575905433,0.0,840,840,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/api/v1/executeservice/execute/collected/8177ac5a-61ac-42f4-83f4-bd7b394d0531,3,0,3700,3515.9296533092856,2948.376211337745,3889.2786893993616,51.0,0.025140747863858153,0.0,2900,2900,3700,3700,3900,3900,3900,3900,3900,3900,3900,3900,3900
GET,/api/v1/executeservice/execute/collected/a7423819-eae2-47eb-ae74-125b269cdbdb,1,0,411.73769533634186,411.73769533634186,411.73769533634186,411.73769533634186,51.0,0.008380249287952717,0.0,410,410,410,410,410,410,410,410,410,410,410,410,410
GET,/api/v1/executeservice/execute/collected/d3c91694-d5b8-424c-9974-e14c89226e49,1,0,4558.842200785875,4558.842200785875,4558.842200785875,4558.842200785875,51.0,0.008380249287952717,0.0,4600,4600,4600,4600,4600,4600,4600,4600,4600,4600,4600,4600,4600
GET,/api/v1/executeservice/execute/execute/01217d76-1345-45b1-8d79-fa24ffe03641,1,0,1545.0898064300418,1545.0898064300418,1545.0898064300418,1545.0898064300418,51.0,0.008380249287952717,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,/api/v1/executeservice/execute/execute/2c2eb088-aebc-445a-a8df-b494f82401de,1,0,1143.772790208459,1143.772790208459,1143.772790208459,1143.772790208459,51.0,0.008380249287952717,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/api/v1/executeservice/execute/execute/8177ac5a-61ac-42f4-83f4-bd7b394d0531,2,0,3136.548270471394,3949.5369782671332,3136.548270471394,4762.525686062872,51.0,0.016760498575905433,0.0,3100,3100,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800
GET,/api/v1/executeservice/execute/execute/a7423819-eae2-47eb-ae74-125b269cdbdb,1,0,247.54812568426132,247.54812568426132,247.54812568426132,247.54812568426132,51.0,0.008380249287952717,0.0,250,250,250,250,250,250,250,250,250,250,250,250,250
GET,/api/v1/executeservice/execute/execute/d3c91694-d5b8-424c-9974-e14c89226e49,1,0,2282.7831115573645,2282.7831115573645,2282.7831115573645,2282.7831115573645,51.0,0.008380249287952717,0.0,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300
GET,/api/v1/foodservice/foods/2021-07-14/Shang%20Hai/Su%20Zhou/D1345,10,0,950,4928.56183256954,311.50396540760994,15753.93602438271,1090.0,0.08380249287952718,0.0,310,760,960,2200,12000,15000,16000,16000,16000,16000,16000,16000,16000
POST,/api/v1/inside_pay_service/inside_payment,553,0,500,674.3673141607863,8.574261330068111,6446.589819155633,71.96925858951175,4.634277856237853,0.0,9,300,500,700,850,1000,1400,1800,2900,3300,6400,6400,6400
