model_variant,service_name,service_group,container_count,mapped_container_count,raw_energy_joules,allocated_energy_joules,mapped,workload_level,workload_region,users,duration_seconds,total_requests,successful_requests,throughput_mean_rps,error_rate,p95_latency,joules_per_request,joules_per_successful_request,share_of_reference_energy
M1,ts-admin-basic-info-service,primary_application,1,1,1227.6363636363637,1227.6363636363637,True,unknown,unknown,200,100.36381912231445,711.0,662.0,5.946691468532231,0.06891701828410689,49000.0,1.7266334228359546,1.8544355946168636,0.006601770119168207
M1,ts-admin-order-service,primary_application,1,1,71.31818181818183,71.31818181818183,True,unknown,unknown,200,100.36381912231445,711.0,662.0,5.946691468532231,0.06891701828410689,49000.0,0.10030686612965095,0.1077313924745949,0.00038352256061074193
M1,ts-admin-route-service,primary_application,1,1,76.31818181818183,76.31818181818183,True,unknown,unknown,200,100.36381912231445,711.0,662.0,5.946691468532231,0.06891701828410689,49000.0,0.10733921493415166,0.11528426256522935,0.0004104106942418328
M1,ts-admin-travel-service,primary_application,1,1,70.27272727272727,70.27272727272727,True,unknown,unknown,200,100.36381912231445,711.0,662.0,5.946691468532231,0.06891701828410689,49000.0,0.09883646592507352,0.10615215600109859,0.0003779004963060592
M1,ts-admin-user-service,primary_application,1,1,75.68181818181817,75.68181818181817,True,unknown,unknown,200,100.36381912231445,711.0,662.0,5.946691468532231,0.06891701828410689,49000.0,0.10644418872266972,0.11432298819005766,0.00040698856814333023
M1,ts-assurance-mongo,primary_application,1,1,327.77272727272725,327.77272727272725,True,unknown,unknown,200,100.36381912231445,711.0,662.0,5.946691468532231,0.06891701828410689,49000.0,0.4610024293568597,0.4951249656687723,0.0017626393783072398
M1,ts-assurance-service,primary_application,1,1,693.8181818181818,693.8181818181818,True,unknown,unknown,200,100.36381912231445,711.0,662.0,5.946691468532231,0.06891701828410689,49000.0,0.9758342922899884,1.0480637187585826,0.003731095197681557
M1,ts-auth-mongo,primary_application,1,1,438.31818181818187,438.31818181818187,True,unknown,unknown,200,100.36381912231445,711.0,662.0,5.946691468532231,0.06891701828410689,49000.0,0.6164812683800026,0.6621120571271629,0.002357111569132813
M1,ts-auth-service,primary_application,1,1,16487.636363636368,16487.636363636368,True,unknown,unknown,200,100.36381912231445,711.0,662.0,5.946691468532231,0.06891701828410689,49000.0,23.189361974172105,24.905795111233182,0.08866435396125762
M1,ts-basic-service,primary_application,1,1,4554.863636363636,4554.863636363636,True,unknown,unknown,200,100.36381912231445,711.0,662.0,5.946691468532231,0.06891701828410689,49000.0,6.406277969569109,6.880458665201867,0.024494356425188404
M1,ts-cancel-service,primary_application,1,1,1264.1363636363633,1264.1363636363633,True,unknown,unknown,200,100.36381912231445,711.0,662.0,5.946691468532231,0.06891701828410689,49000.0,1.777969569108809,1.9095715462784943,0.006798053494675168
M1,ts-config-mongo,primary_application,1,1,327.81818181818176,327.81818181818176,True,unknown,unknown,200,100.36381912231445,711.0,662.0,5.946691468532231,0.06891701828410689,49000.0,0.46106635980053695,0.49519362812414164,0.001762883815885704
M1,ts-config-service,primary_application,1,1,1449.590909090909,1449.590909090909,True,unknown,unknown,200,100.36381912231445,711.0,662.0,5.946691468532231,0.06891701828410689,49000.0,2.038805779312108,2.1897143641856633,0.007795358814810177
M1,ts-consign-mongo,primary_application,1,1,345.90909090909093,345.90909090909093,True,unknown,unknown,200,100.36381912231445,711.0,662.0,5.946691468532231,0.06891701828410689,49000.0,0.4865106763840941,0.5225212853611646,0.0018601699721145608
M1,ts-consign-price-mongo,primary_application,1,1,333.99999999999994,333.99999999999994,True,unknown,unknown,200,100.36381912231445,711.0,662.0,5.946691468532231,0.06891701828410689,49000.0,0.4697609001406469,0.5045317220543806,0.001796127326556871
M1,ts-consign-price-service,primary_application,1,1,1519.3636363636363,1519.3636363636363,True,unknown,unknown,200,100.36381912231445,711.0,662.0,5.946691468532231,0.06891701828410689,49000.0,2.136939010356732,2.2951112331776984,0.008170570497753127
M1,ts-consign-service,primary_application,1,1,1044.0,1044.0,True,unknown,unknown,200,100.36381912231445,711.0,662.0,5.946691468532231,0.06891701828410689,49000.0,1.4683544303797469,1.5770392749244713,0.005614242302171777
M1,ts-contacts-mongo,primary_application,1,1,329.6363636363637,329.6363636363637,True,unknown,unknown,200,100.36381912231445,711.0,662.0,5.946691468532231,0.06891701828410689,49000.0,0.46362357754762823,0.49794012633891793,0.0017726613190242831
M1,ts-contacts-service,primary_application,1,1,600.0454545454545,600.0454545454545,True,unknown,unknown,200,100.36381912231445,711.0,662.0,5.946691468532231,0.06891701828410689,49000.0,0.8439457869837617,0.9064130733315022,0.003226820473309371
M1,ts-execute-service,primary_application,1,1,1082.2272727272727,1082.2272727272727,True,unknown,unknown,200,100.36381912231445,711.0,662.0,5.946691468532231,0.06891701828410689,49000.0,1.5221199335123385,1.6347843998901401,0.005819814305660391
M1,ts-food-map-mongo,primary_application,1,1,344.99999999999994,344.99999999999994,True,unknown,unknown,200,100.36381912231445,711.0,662.0,5.946691468532231,0.06891701828410689,49000.0,0.4852320675105484,0.5211480362537764,0.001855281220545271
M1,ts-food-map-service,primary_application,1,1,1546.318181818182,1546.318181818182,True,unknown,unknown,200,100.36381912231445,711.0,662.0,5.946691468532231,0.06891701828410689,49000.0,2.1748497634573587,2.3358280692117552,0.008315521981782556
M1,ts-food-mongo,primary_application,1,1,335.3636363636363,335.3636363636363,True,unknown,unknown,200,100.36381912231445,711.0,662.0,5.946691468532231,0.06891701828410689,49000.0,0.4716788134509653,0.5065915957154628,0.001803460453910805
M1,ts-food-service,primary_application,1,1,1270.7272727272725,1270.7272727272725,True,unknown,unknown,200,100.36381912231445,711.0,662.0,5.946691468532231,0.06891701828410689,49000.0,1.7872394834420149,1.9195276023070582,0.006833496943552516
