model_variant,entity_name,raw_entity_name,container_id,pod_name,pod_namespace,deployment_name,service_name,service_group,match_status,confidence,provenance,mapping_provenance,mapping_confidence,identity_type,resolution_status,ignored,source_artifact,source_metric,raw_energy_joules,raw_metric_value,allocated_energy_joules,weight_value,series_mean,series_max,series_min,sample_count,inactive_entity,zero_activity
M1,alertsnitch,alertsnitch,,,,,alertsnitch,unknown,unknown,0.0,unmapped,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,4.7727272727272725,4.7727272727272725,0.0,4.7727272727272725,0.038545454545454556,0.09090909090909091,0.0,25.0,False,False
M1,alertsnitch-mysql,alertsnitch-mysql,,,,,alertsnitch-mysql,unknown,unknown,0.0,unmapped,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,40.0,40.0,0.0,40.0,0.3330909090909091,0.34545454545454546,0.32727272727272727,25.0,False,False
M1,coredns,coredns,,,,,coredns,kubernetes_system,builtin_group,0.95,builtin_system_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,148.99999999999997,148.99999999999997,0.0,148.99999999999997,1.2443636363636363,1.6727272727272726,0.9818181818181818,25.0,False,False
M1,elasticsearch-logging,elasticsearch-logging,,,,,elasticsearch-logging,unknown,unknown,0.0,unmapped,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,1333.590909090909,1333.590909090909,0.0,1333.590909090909,10.84290909090909,19.345454545454544,4.036363636363636,25.0,False,False
M1,jaeger,jaeger,,,,,jaeger,unknown,ignored_pattern,0.6,ignore_pattern:(^|/)jaeger($|[-/]),source_label,0.9,raw_label,resolved,True,energy.json,kepler_container_cpu_joules_total,3.9090909090909096,3.9090909090909096,0.0,3.9090909090909096,0.03418181818181819,0.09090909090909091,0.0,25.0,False,False
M1,kepler-exporter,kepler-exporter,,,,,kepler-exporter,unknown,unknown,0.0,unmapped,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,608.2727272727273,608.2727272727273,0.0,608.2727272727273,5.082181818181818,5.745454545454545,3.4,25.0,False,False
M1,kernel_processes,kernel_processes,,,,,kernel_processes,unknown,unknown,0.0,unmapped,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,84017.72727272726,84017.72727272726,0.0,84017.72727272726,697.7018181818182,778.3090909090909,542.9818181818182,25.0,False,False
M1,kibana-logging,kibana-logging,,,,,kibana-logging,unknown,unknown,0.0,unmapped,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,102.81818181818181,102.81818181818181,0.0,102.81818181818181,0.8632727272727272,1.3818181818181818,0.7272727272727273,25.0,False,False
M1,lb-tcp-12340,lb-tcp-12340,,,,,lb-tcp-12340,unknown,unknown,0.0,unmapped,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,False,True
M1,lb-tcp-443,lb-tcp-443,,,,,lb-tcp-443,kubernetes_system,builtin_group,0.95,builtin_system_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,False,True
M1,lb-tcp-80,lb-tcp-80,,,,,lb-tcp-80,kubernetes_system,builtin_group,0.95,builtin_system_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,False,True
M1,local-path-provisioner,local-path-provisioner,,,,,local-path-provisioner,kubernetes_system,builtin_group,0.95,builtin_system_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,2.9999999999999987,2.9999999999999987,0.0,2.9999999999999987,0.024000000000000004,0.05454545454545454,0.0,25.0,False,False
M1,metrics-server,metrics-server,,,,,metrics-server,platform_observability,builtin_group,0.95,builtin_platform_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,307.4545454545455,307.4545454545455,0.0,307.4545454545455,2.562181818181818,2.8545454545454545,2.3636363636363633,25.0,False,False
M1,node-exporter,node-exporter,,,,,node-exporter,measurement_infrastructure,builtin_group,0.95,builtin_measurement_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,False,True
M1,system_processes,system_processes,,,,,system_processes,unknown,unknown,0.0,unmapped,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,14036.727272727274,14036.727272727274,0.0,14036.727272727274,117.30181818181816,144.18181818181816,100.72727272727272,25.0,False,False
M1,traefik,traefik,,,,,traefik,kubernetes_system,builtin_group,0.95,builtin_system_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,21.27272727272727,21.27272727272727,0.0,21.27272727272727,0.1825454545454545,0.32727272727272727,0.05454545454545454,25.0,False,False
M1,ts-admin-basic-info-service,ts-admin-basic-info-service,,,,,ts-admin-basic-info-service,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,1316.6363636363635,1316.6363636363635,1316.6363636363635,1316.6363636363635,11.101818181818182,27.818181818181817,0.4727272727272727,25.0,False,False
M1,ts-admin-order-service,ts-admin-order-service,,,,,ts-admin-order-service,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,81.49999999999999,81.49999999999999,81.49999999999999,81.49999999999999,0.6814545454545453,0.8727272727272727,0.5818181818181818,25.0,False,False
M1,ts-admin-route-service,ts-admin-route-service,,,,,ts-admin-route-service,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,80.95454545454545,80.95454545454545,80.95454545454545,80.95454545454545,0.6763636363636364,0.8909090909090909,0.5636363636363636,25.0,False,False
M1,ts-admin-travel-service,ts-admin-travel-service,,,,,ts-admin-travel-service,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,82.95454545454545,82.95454545454545,82.95454545454545,82.95454545454545,0.6938181818181819,0.8727272727272727,0.5636363636363636,25.0,False,False
M1,ts-admin-user-service,ts-admin-user-service,,,,,ts-admin-user-service,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,78.1818181818182,78.1818181818182,78.1818181818182,78.1818181818182,0.6530909090909092,0.8181818181818181,0.5454545454545454,25.0,False,False
M1,ts-assurance-mongo,ts-assurance-mongo,,,,,ts-assurance-mongo,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,341.2727272727272,341.2727272727272,341.2727272727272,341.2727272727272,2.845818181818182,3.0727272727272728,2.6,25.0,False,False
M1,ts-assurance-service,ts-assurance-service,,,,,ts-assurance-service,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,128.6818181818182,128.6818181818182,128.6818181818182,128.6818181818182,1.2421818181818178,9.418181818181818,0.7818181818181817,25.0,False,False
M1,ts-auth-mongo,ts-auth-mongo,,,,,ts-auth-mongo,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,438.0454545454545,438.0454545454545,438.0454545454545,438.0454545454545,3.6399999999999992,4.381818181818182,2.6727272727272724,25.0,False,False
M1,ts-auth-service,ts-auth-service,,,,,ts-auth-service,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,16134.40909090909,16134.40909090909,16134.40909090909,16134.40909090909,132.784,193.9272727272727,0.8727272727272727,25.0,False,False
M1,ts-basic-service,ts-basic-service,,,,,ts-basic-service,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,2451.6818181818185,2451.6818181818185,2451.6818181818185,2451.6818181818185,21.70690909090909,103.87272727272726,0.5818181818181818,25.0,False,False
M1,ts-cancel-service,ts-cancel-service,,,,,ts-cancel-service,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,701.5,701.5,701.5,701.5,6.086545454545455,22.909090909090907,0.509090909090909,25.0,False,False
M1,ts-config-mongo,ts-config-mongo,,,,,ts-config-mongo,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,327.4090909090909,327.4090909090909,327.4090909090909,327.4090909090909,2.7345454545454544,3.0545454545454542,2.5454545454545454,25.0,False,False
M1,ts-config-service,ts-config-service,,,,,ts-config-service,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,884.6818181818181,884.6818181818181,884.6818181818181,884.6818181818181,7.667636363636364,28.363636363636363,0.8363636363636363,25.0,False,False
M1,ts-consign-mongo,ts-consign-mongo,,,,,ts-consign-mongo,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,333.9090909090909,333.9090909090909,333.9090909090909,333.9090909090909,2.786181818181818,3.2727272727272725,2.5818181818181816,25.0,False,False
M1,ts-consign-price-mongo,ts-consign-price-mongo,,,,,ts-consign-price-mongo,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,329.6818181818181,329.6818181818181,329.6818181818181,329.6818181818181,2.7483636363636363,2.9818181818181815,2.5272727272727273,25.0,False,False
M1,ts-consign-price-service,ts-consign-price-service,,,,,ts-consign-price-service,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,452.9545454545455,452.9545454545455,452.9545454545455,452.9545454545455,4.010181818181818,18.2,0.8545454545454545,25.0,False,False
M1,ts-consign-service,ts-consign-service,,,,,ts-consign-service,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,607.6818181818182,607.6818181818182,607.6818181818182,607.6818181818182,5.368727272727273,24.145454545454545,0.6909090909090909,25.0,False,False
